# Smallpox Deaths in London 1629 to 1893.,,
# Created by Kelly Hancock 20 April 2009.,,
# Data from Charles Creighton. A History of Epidemics in Britain. Frank Cass & Co. Ltd. 1965. p. 436,,
# Call number: RA 650.6.G6C9 1965 v.2,,
# All cause mortality is not available in Creighton from 1637-1660 & 1838-1893.,,
# 1837 has two different values for smallpox deaths. The data Creighton pulls from the London Bills of Mortality gives 217 as the total  while another source he uses gives 763 as the total number of smallpox deaths. He mentions an epidemic that year so the higher value is likely the more accurate of the two.,, 
year,total.deaths,smallpox.deaths
1629,8771,72
1630,10554,40
1631,8532,58
1632,9535,531
1633,8393,72
1634,10400,1354
1635,10651,293
1636,23359,127
1637,NA,NA
1638,NA,NA
1639,NA,NA
1640,NA,NA
1641,NA,NA
1642,NA,NA
1643,NA,NA
1644,NA,NA
1645,NA,NA
1646,NA,NA
1647,NA,139
1648,NA,401
1649,NA,1190
1650,NA,184
1651,NA,525
1652,NA,1279
1653,NA,139
1654,NA,832
1655,NA,1294
1656,NA,823
1657,NA,835
1658,NA,409
1659,NA,1523
1660,NA,354
1661,16665,1246
1662,13664,768
1663,12741,411
1664,15453,1233
1665,97306,655
1666,12738,38
1667,15842,1196
1668,17278,1987
1669,19432,951
1670,20198,1465
1671,15729,696
1672,18230,1116
1673,17504,853
1674,21201,2507
1675,17244,997
1676,18732,359
1677,19067,1678
1678,20678,1798
1679,21730,1967
1680,21053,689
1681,23951,2982
1682,20691,1408
1683,20587,2096
1684,23202,1560
1685,23222,2496
1686,22609,1062
1687,21460,1551
1688,22921,1318
1689,23502,1389
1690,21461,778
1691,22691,1241
1692,20874,1592
1693,20959,1164
1694,24100,1683
1695,19047,784
1696,18638,196
1697,20972,634
1698,20183,1813
1699,20795,890
1700,19443,1031
1701,20471,1099
1702,19481,311
1703,20720,398
1704,22684,1501
1705,22097,1095
1706,19847,721
1707,21600,1078
1708,21291,1687
1709,21800,1024
1710,24620,3138
1711,19833,915
1712,21198,1943
1713,21057,1614
1714,26589,2810
1715,22232,1057
1716,24436,2427
1717,23446,2211
1718,26523,1884
1719,28347,3229
1720,25454,1442
1721,26142,2375
1722,25750,2167
1723,29197,3271
1724,25952,1227
1725,25523,3188
1726,29647,1569
1727,28418,2379
1728,27810,2105
1729,29722,2849
1730,26761,1914
1731,25262,2640
1732,23358,1197
1733,29233,1370
1734,26062,2688
1735,23538,1594
1736,27581,3014
1737,27823,2084
1738,25825,1590
1739,25432,1690
1740,30811,2725
1741,32169,1977
1742,27483,1429
1743,25200,2029
1744,20606,1633
1745,21296,1206
1746,28157,3236
1747,25494,1380
1748,23069,1789
1749,25516,2625
1750,23727,1229
1751,21028,998
1752,20485,3538
1753,19276,774
1754,22696,2359
1755,21917,1988
1756,20872,1608
1757,21313,3296
1758,17576,1273
1759,19604,2596
1760,19830,2181
1761,21063,1525
1762,26326,2743
1763,26148,3582
1764,23202,2382
1765,23230,2498
1766,23911,2334
1767,22612,2188
1768,23639,3028
1769,21847,1968
1770,22434,1986
1771,21780,1660
1772,26053,3992
1773,21656,1039
1774,20884,2479
1775,20514,2669
1776,19048,1728
1777,23334,2567
1778,20399,1425
1779,20420,2493
1780,20517,871
1781,20709,3500
1782,17918,636
1783,19029,1550
1784,17828,1759
1785,18919,1999
1786,20454,1210
1787,19349,2418
1788,19697,1101
1789,20749,2077
1790,18038,1617
1791,18760,1747
1792,20213,1568
1793,21749,2382
1794,19241,1913
1795,21179,1040
1796,19288,3548
1797,17014,522
1798,18155,2237
1799,18134,1111
1800,23068,2409
1801,19374,1461
1802,19379,1579
1803,19582,1202
1804,17034,622
1805,17565,1685
1806,17938,1158
1807,18334,1297
1808,19954,1169
1809,16680,1163
1810,19983,1198
1811,17043,751
1812,18295,1287
1813,17322,898
1814,19283,638
1815,19560,725
1816,20316,653
1817,19968,1051
1818,19705,421
1819,19928,712
1820,19348,722
1821,18451,508
1822,18865,604
1823,20587,774
1824,20237,725
1825,21026,1299
1826,20758,503
1827,22292,616
1828,21709,598
1829,23524,736
1830,21645,627
1831,25337,563
1832,28606,771
1833,26577,574
1834,21679,334
1835,21415,863
1836,18229,536
1837,21063,763
1838,NA,3817
1839,NA,634
1840,NA,1235
1841,NA,1053
1842,NA,360
1843,NA,438
1844,NA,1804
1845,NA,909
1846,NA,257
1847,NA,255
1848,NA,1620
1849,NA,521
1850,NA,499
1851,NA,1062
1852,NA,1150
1853,NA,211
1854,NA,694
1855,NA,1039
1856,NA,531
1857,NA,156
1858,NA,242
1859,NA,1158
1860,NA,898
1861,NA,217
1862,NA,366
1863,NA,1996
1864,NA,547
1865,NA,640
1866,NA,1391
1867,NA,1345
1868,NA,597
1869,NA,275
1870,NA,973
1871,NA,7912
1872,NA,1786
1873,NA,113
1874,NA,57
1875,NA,46
1876,NA,736
1877,NA,2551
1878,NA,1417
1879,NA,450
1880,NA,471
1881,NA,2367
1882,NA,430
1883,NA,146
1884,NA,898
1885,NA,914
1886,NA,5
1887,NA,7
1888,NA,5
1889,NA,0
1890,NA,3
1891,NA,1
1892,NA,11
1893,NA,206
