"Year","InnerLondon","OuterLondon","Total"
1550,120000,NA,120000
1551,122080,NA,122080
1552,124160,NA,124160
1553,126240,NA,126240
1554,128320,NA,128320
1555,130400,NA,130400
1556,132480,NA,132480
1557,134560,NA,134560
1558,136640,NA,136640
1559,138720,NA,138720
1560,140800,NA,140800
1561,142780,NA,142780
1562,144760,NA,144760
1563,146740,NA,146740
1564,148720,NA,148720
1565,150700,NA,150700
1566,152680,NA,152680
1567,154660,NA,154660
1568,156640,NA,156640
1569,158620,NA,158620
1570,160600,NA,160600
1571,162580,NA,162580
1572,164560,NA,164560
1573,166540,NA,166540
1574,168520,NA,168520
1575,170500,NA,170500
1576,172480,NA,172480
1577,174460,NA,174460
1578,176440,NA,176440
1579,178420,NA,178420
1580,180400,NA,180400
1581,181380,NA,181380
1582,182360,NA,182360
1583,183340,NA,183340
1584,184320,NA,184320
1585,185300,NA,185300
1586,186280,NA,186280
1587,187260,NA,187260
1588,188240,NA,188240
1589,189220,NA,189220
1590,190200,NA,190200
1591,191180,NA,191180
1592,192160,NA,192160
1593,193140,NA,193140
1594,194120,NA,194120
1595,195100,NA,195100
1596,196080,NA,196080
1597,197060,NA,197060
1598,198040,NA,198040
1599,199020,NA,199020
1600,2e+05,NA,2e+05
1601,204850,NA,204850
1602,209700,NA,209700
1603,214550,NA,214550
1604,219400,NA,219400
1605,224250,NA,224250
1606,229100,NA,229100
1607,233950,NA,233950
1608,238800,NA,238800
1609,243650,NA,243650
1610,248500,NA,248500
1611,253350,NA,253350
1612,258200,NA,258200
1613,263050,NA,263050
1614,267900,NA,267900
1615,272750,NA,272750
1616,277600,NA,277600
1617,282450,NA,282450
1618,287300,NA,287300
1619,292150,NA,292150
1620,297000,NA,297000
1621,301675,NA,301675
1622,306350,NA,306350
1623,311025,NA,311025
1624,315700,NA,315700
1625,320375,NA,320375
1626,325050,NA,325050
1627,329725,NA,329725
1628,334400,NA,334400
1629,339075,NA,339075
1630,343750,NA,343750
1631,348425,NA,348425
1632,353100,NA,353100
1633,357775,NA,357775
1634,362450,NA,362450
1635,367125,NA,367125
1636,371800,NA,371800
1637,376475,NA,376475
1638,381150,NA,381150
1639,385825,NA,385825
1640,390500,NA,390500
1641,390595,NA,390595
1642,390690,NA,390690
1643,390785,NA,390785
1644,390880,NA,390880
1645,390975,NA,390975
1646,391070,NA,391070
1647,391165,NA,391165
1648,391260,NA,391260
1649,391355,NA,391355
1650,391450,NA,391450
1651,391545,NA,391545
1652,391640,NA,391640
1653,391735,NA,391735
1654,391830,NA,391830
1655,391925,NA,391925
1656,392020,NA,392020
1657,392115,NA,392115
1658,392210,NA,392210
1659,392305,NA,392305
1660,392400,NA,392400
1661,396210,NA,396210
1662,400020,NA,400020
1663,403830,NA,403830
1664,407640,NA,407640
1665,411450,NA,411450
1666,415260,NA,415260
1667,419070,NA,419070
1668,422880,NA,422880
1669,426690,NA,426690
1670,430500,NA,430500
1671,434310,NA,434310
1672,438120,NA,438120
1673,441930,NA,441930
1674,445740,NA,445740
1675,449550,NA,449550
1676,453360,NA,453360
1677,457170,NA,457170
1678,460980,NA,460980
1679,464790,NA,464790
1680,468600,NA,468600
1681,469670,NA,469670
1682,470740,NA,470740
1683,471810,NA,471810
