"year","birth","acm","smpx"
1661,416,771,0
1662,3385,5307,0
1663,425,620,0
1664,11526,17972,338
1665,9828,97304,632
1666,8234,11702,39
1667,10721,15668,1281
1668,11414,16858,1887
1669,11940,19551,987
1670,11974,20035,1436
1671,12534,15777,702
1672,12611,18290,1107
1673,11859,17392,844
1674,11675,21144,2587
1675,11777,17099,907
1676,12202,18592,380
1677,12655,19060,1693
1678,12589,20743,1755
1679,12230,21721,1926
1680,12868,21251,701
1681,13104,23284,2961
1682,13724,20631,1427
1683,14694,20512,2104
1684,14909,23589,1588
1685,14826,23228,2509
1686,14447,22066,994
1687,14577,21133,1545
1688,14495,22417,1131
1689,14478,23061,1358
1690,15304,21427,723
1691,14951,22506,1236
1692,14916,20645,1495
1693,14924,20692,1081
1694,13682,24048,2829
1695,13648,18784,666
1696,15256,18989,183
1697,15887,20983,661
1698,15722,19515,1814
1699,15559,21079,861
1700,14651,19528,1043
1701,15886,20864,1067
1702,15765,19510,314
1703,15509,20765,947
1704,15538,22244,1452
1705,16115,22043,1099
1706,15743,20250,727
1707,16002,21742,1227
1708,15869,21204,1587
1709,15206,21864,1044
1710,14877,24491,3110
1711,14676,19716,906
1712,15754,21488,1953
1713,16020,20947,1639
1714,17487,26831,2805
1715,17104,22172,909
1716,17423,24410,2583
1717,18222,22879,2031
1718,18691,27201,1967
1719,18381,28323,3188
1720,17433,25220,1487
1721,18410,26272,2311
1722,18379,25924,2341
1723,19250,29075,3100
1724,19377,26095,1280
1725,18933,25364,3163
1726,18829,29873,1553
1727,18175,28305,2433
1728,16576,27784,2091
1729,17438,30674,2868
1730,16753,25721,1870
1731,17793,25157,2622
1732,17840,23779,1191
1733,17406,28760,1375
1734,17631,26086,2677
1735,17219,24216,1610
1736,16448,27543,3065
1737,16399,27387,2024
1738,16060,25652,1549
1739,16142,25405,1724
1740,15222,30952,2783
1741,14933,32621,1892
1742,13820,26999,1471
1743,15038,24995,2014
1744,14139,20545,1591
1745,14251,21737,1309
1746,14891,28383,3201
1747,14767,24979,1348
1748,14198,23814,1832
1749,14284,25694,2575
1750,14610,23617,1193
1751,14641,21004,1099
1752,15263,20381,3480
1753,15407,19376,793
1754,15004,22804,2404
1755,15228,21852,1914
1756,14819,20911,1652
1757,13667,20678,3240
1758,13688,17061,1192
